Sat Sep 15 17:41:43 2012 : PID: 3689 | Conexión de cliente.
 Sat Sep 15 17:56:08 2012 : PID: 3793 | Conexión de cliente.
 Sat Sep 15 18:02:56 2012 : PID: 3848 | Conexión de cliente.
 Sat Sep 15 18:06:46 2012 : PID: 3873 | Conexión de cliente.
 Sat Sep 15 18:13:45 2012 : PID: 3899 | Conexión de cliente.
 Sat Sep 22 18:45:39 2012 : PID: 5540 | Conexión de cliente.
 Sat Sep 22 18:45:39 2012 : PID: 5540 | Error Estableciendo la Conexion de Escucha
Sat Sep 22 18:47:39 2012 : PID: 5565 | Conexión de cliente.
 Sat Sep 22 18:47:39 2012 : PID: 5565 | Error Estableciendo la Conexion de Escucha
Sat Sep 22 18:49:05 2012 : PID: 5589 | Conexión de cliente.
 Sat Sep 22 18:49:05 2012 : PID: 5589 | Error Estableciendo la Conexion de Escucha
Sat Sep 22 18:50:21 2012 : PID: 5613 | Conexión de cliente.
 Sat Sep 22 18:50:21 2012 : PID: 5613 | Error Estableciendo la Conexion de Escucha
Sat Sep 22 19:03:32 2012 : PID: 5638 | Conexión de cliente.
 Sat Sep 22 19:03:32 2012 : PID: 5638 | Error Estableciendo la Conexion de Escucha
Sat Sep 22 19:08:04 2012 : PID: 5663 | Conexión de cliente.
 Sat Sep 22 19:08:04 2012 : PID: 5663 | Error Estableciendo la Conexion de Escucha
Mon Sep 24 02:06:33 2012 : PID: 6763 | Conexión de cliente.
 Mon Sep 24 02:06:33 2012 : PID: 6763 | Error Estableciendo la Conexion de Escucha
